,last_price,local_vol,timestamp
18400,0.0,,2023-06-15 13:25:30
18500,0.0,,2023-06-15 13:25:30
18600,0.0,,2023-06-15 13:25:30
18700,0.0,,2023-06-15 13:25:30
18800,0.0,,2023-06-15 13:25:30
18900,,,
18400M,428.4,,2023-06-15 13:28:03
18500M,342.7,,2023-06-15 13:28:03
18600M,264.95,,2023-06-15 13:28:03
18700M,193.35,,2023-06-15 13:28:03
18800M,133.4,0.09600575746671465,2023-06-15 13:28:03
18900M,84.55,,2023-06-15 13:28:03
18300M,518.7,,2023-06-15 13:28:03
19000M,49.5,,2023-06-15 13:28:03
18300,0.0,,2023-06-15 13:25:30
FUT,18792.85,,2023-06-15 13:28:03
